Date,Day,WLEMUINDXD
05/06/2019,Wed,55.26
06/06/2019,Thu,83.26
07/06/2019,Fri,62.55
08/06/2019,Sat,102.39
09/06/2019,Sun,175.27
10/06/2019,Mon,47.28
11/06/2019,Tue,23.58
12/06/2019,Wed,323.09
13/06/2019,Thu,59.64
14/06/2019,Fri,108.81
15/06/2019,Sat,118.89
16/06/2019,Sun,173.7
17/06/2019,Mon,30.81
18/06/2019,Tue,113.01
19/06/2019,Wed,9.3
20/06/2019,Thu,18.56
21/06/2019,Fri,74.73
22/06/2019,Sat,130.56
23/06/2019,Sun,141.95
24/06/2019,Mon,60.88
25/06/2019,Tue,34.37
26/06/2019,Wed,118.63
27/06/2019,Thu,102.81
28/06/2019,Fri,72.11
29/06/2019,Sat,29.71
30/06/2019,Sun,12.52
01/07/2019,Mon,73.94
02/07/2019,Tue,34.4
03/07/2019,Wed,39
04/07/2019,Thu,14.12
05/07/2019,Fri,35.85
06/07/2019,Sat,15.31
07/07/2019,Sun,189.59
08/07/2019,Mon,31.53
09/07/2019,Tue,23.42
10/07/2019,Wed,17.11
11/07/2019,Thu,136.3
12/07/2019,Fri,10.57
13/07/2019,Sat,15.15
14/07/2019,Sun,27.89
15/07/2019,Mon,63.17
16/07/2019,Tue,70.11
17/07/2019,Wed,9.63
18/07/2019,Thu,50.56
19/07/2019,Fri,43.29
20/07/2019,Sat,15.16
21/07/2019,Sun,28.04
22/07/2019,Mon,32.95
23/07/2019,Tue,35.99
24/07/2019,Wed,18.2
25/07/2019,Thu,48.54
26/07/2019,Fri,31.53
27/07/2019,Sat,122.19
28/07/2019,Sun,13.5
29/07/2019,Mon,32.62
30/07/2019,Tue,158.4
31/07/2019,Wed,55.95
01/08/2019,Thu,59.15
02/08/2019,Fri,132.1
03/08/2019,Sat,104.57
04/08/2019,Sun,174.94
05/08/2019,Mon,108.98
06/08/2019,Tue,150.97
07/08/2019,Wed,154.94
08/08/2019,Thu,98.17
09/08/2019,Fri,99.18
10/08/2019,Sat,60.61
11/08/2019,Sun,122.02
12/08/2019,Mon,166.56
13/08/2019,Tue,115.01
14/08/2019,Wed,195.01
15/08/2019,Thu,330.15
16/08/2019,Fri,359.75
17/08/2019,Sat,208.87
18/08/2019,Sun,335.25
19/08/2019,Mon,91.26
20/08/2019,Tue,52.8
21/08/2019,Wed,36.08
22/08/2019,Thu,112.72
23/08/2019,Fri,81.83
24/08/2019,Sat,304.16
25/08/2019,Sun,194.6
26/08/2019,Mon,45.88
27/08/2019,Tue,133.31
28/08/2019,Wed,110.05
29/08/2019,Thu,131.59
30/08/2019,Fri,254.72
31/08/2019,Sat,231.76
01/09/2019,Sun,203.62
02/09/2019,Mon,21.56
03/09/2019,Tue,125.51
04/09/2019,Wed,102.21
