"","Date","Price","MA_50","OBV","ThreemTbill","RSI","Tenyrbond","MACDSignal","mfi","macd","be_inflation","OVX"
"134","14/08/2018",6199.709961,6903.36335934,83542172704,2.04,36.9594647959846,2.9413,375.820577672947,29.7271438733383,563.968879516944,2.09,26.18
"135","15/08/2018",6308.52002,6876.45416014,88437622704,2.03,39.1279143745591,2.9163,395.862942149162,36.8357358073468,476.032400054023,2.08,27.26
"136","16/08/2018",6334.72998,6849.58395506,92766042704,2.03,39.666272890238,2.9198,396.006509775961,34.7444227692366,396.580780283157,2.08,26.33
"137","17/08/2018",6580.629883,6828.69815428,97759032704,2.01,44.6153006541763,2.9181,365.91515354015,32.8849708726666,245.549728596904,2.08,25.709999
"138","20/08/2018",6308.529785,6816.73035154,94093932704,2.03,40.642513329813,2.8832,345.432721544067,34.2869652397578,263.502993559734,2.07,25.26
"139","21/08/2018",6488.759766,6814.8583496,97471112704,2.04,44.1875873780079,2.8907,313.872487056516,40.8912803474342,187.631549106311,2.08,25.08
"140","22/08/2018",6376.709961,6815.39455078,92803002704,2.05,42.4885968863744,2.8743,287.764005992427,41.1050505542012,183.330081736074,2.08,24.719999
"141","23/08/2018",6534.879883,6812.58514648,96229182704,2.04,45.6645315046809,2.8707,252.460898599255,48.0437871713951,111.248469026567,2.09,24.35
"142","24/08/2018",6719.959961,6817.85274414,100327002704,2.05,49.1996559015332,2.8742,202.91548760954,55.0017779031469,4.73384365067704,2.09,23.309999
"143","27/08/2018",6884.640137,6820.8491504,104346002704,2.08,52.1808449339439,2.8919,141.908227129847,62.6518490809847,-102.120814788922,2.11,23.68
"144","28/08/2018",7096.279785,6827.37594728,109005942704,2.09,55.7729667811933,2.9211,69.6830516918472,70.9223757042681,-219.217650060154,2.11,24.5
"145","29/08/2018",7047.160156,6832.7881543,104860062704,2.09,54.7450992678261,2.9322,8.27952707874252,63.565645903464,-237.334571373676,2.12,24.32
"146","30/08/2018",6978.22998,6837.75794922,100396812704,2.07,53.2616689296897,2.9105,-34.1940852672643,63.0615558423221,-204.088534651291,2.1,24.889999
"147","31/08/2018",7037.580078,6856.83575196,104892462704,2.07,54.4072206791999,2.9046,-66.9228120194456,63.6061478646234,-197.837719028171,2.08,25.02
"148","03/09/2018",7260.060059,6877.05334962,108980222704,1.1827,58.5122440912951,2.0949,-106.241418420145,71.56675647389,-263.515844022941,2.03,43.06
"149","04/09/2018",7361.660156,6902.4131543,113253862704,2.09,60.2714247002847,2.9339,-147.325536899945,71.6079605503029,-311.662010819145,2.1,26.700001
"150","05/09/2018",6792.830078,6915.1271582,107453402704,2.1,47.9997783703199,2.9396,-138.4958002752,62.8460563737115,-103.176853776224,2.09,26.620001
"151","06/09/2018",6529.169922,6927.64175782,101929932704,2.09,43.5714481108363,2.928,-92.6525278746688,54.4242497831851,90.7205617274576,2.08,26.16
"152","07/09/2018",6467.069824,6932.6171582,97665252704,2.1,42.5751497431478,2.9759,-35.8290675802906,53.8444691622137,191.464773597222,2.1,26.07
"153","10/09/2018",6329.700195,6926.92755858,93951152704,2.11,40.3758125276863,2.9819,25.8817748292952,48.4239994012872,272.725144467639,2.1,26.129999
"154","11/09/2018",6321.200195,6922.7597656,90101242704,2.11,40.2373037190098,3.0149,79.2800123061647,49.058194887717,292.872962213642,2.12,27.139999
"155","12/09/2018",6351.799805,6917.8447656,94165472704,2.12,41.0216901823515,3.0128,117.595802262799,49.4755424303023,270.858962089336,2.12,26.940001
"156","13/09/2018",6517.310059,6915.40816404,98376382704,2.11,45.2105026763222,3.0128,130.591682762809,49.4642560917128,182.575204762847,2.1,26.700001
"157","14/09/2018",6512.709961,6912.19236326,94300162704,2.12,45.1145973900802,3.0337,131.240132651016,42.9605261174107,133.833932203845,2.1,26.4
"158","17/09/2018",6281.200195,6902.98136716,90389382704,2.13,40.4625572593342,3.0356,142.727579350417,35.7580470640071,188.677366148021,2.1,26.49
"159","18/09/2018",6371.299805,6903.80835936,94569472704,2.13,42.9290494841623,3.0756,147.547631369793,42.5484669212407,166.827839447296,2.13,26.799999
"160","19/09/2018",6398.540039,6903.88496092,99000812704,2.12,43.6886031784871,3.1033,145.288058985267,49.878498882121,136.249769447162,2.15,26.35
"161","20/09/2018",6519.669922,6909.70215818,103348922704,2.13,47.0625011125421,3.1087,130.130779998339,49.4659436840044,69.5016640506274,2.15,26.07
"162","21/09/2018",6734.950195,6919.64016597999,109880862704,2.14,52.5086304960634,3.1075,95.5062121337553,51.2130551657595,-42.9920593245788,2.15,26.15
"163","24/09/2018",6595.410156,6916.71336909999,105703552704,2.18,48.9904716462839,3.1148,68.8632654672316,44.0304596145806,-37.7085211988633,2.16,26.969999
"164","25/09/2018",6446.470215,6899.22197261999,100977372704,2.17,45.4872212395283,3.1299,59.4318573942261,45.0109659461413,21.7062251022044,2.16,26.83
"165","26/09/2018",6495,6881.70637691999,105414672704,2.16,46.8215927450584,3.1097,53.187741713885,53.1540430664408,28.2112789925204,2.14,26.530001
"166","27/09/2018",6676.75,6865.90417965999,110021482704,2.14,51.599913629635,3.1023,35.0517367868725,60.4736262318169,-37.4922829211773,2.15,26.450001
"167","28/09/2018",6644.129883,6851.70417965999,105007052704,2.15,50.7190535975632,3.0942,17.7406631650244,59.0162191579373,-51.5036313223682,2.14,26.73
"168","01/10/2018",6589.620117,6829.27438474,101006082704,2.19,49.2073677380301,3.1147,7.36158533040776,58.7234556844514,-34.1547260080588,2.14,27.950001
"169","02/10/2018",6556.100098,6791.91099608,97026822704,2.19,48.2549082218247,3.0989,3.47542593006205,52.376316451671,-12.0692116713208,2.12,27.68
"170","03/10/2018",6502.589844,6758.33499022,93139512704,2.19,46.7008800213202,3.16,6.36558443458685,45.9134581222462,17.926218452686,2.16,28.040001
"171","04/10/2018",6576.689941,6730.83718748,96977922704,2.18,49.1433626849891,3.2088,5.60429182291839,52.2820254408567,2.55912137624455,2.16,28.9
"172","05/10/2018",6622.47998,6699.98659176,100649422704,2.18,50.6484078734428,3.2492,0.271384841942181,58.3099662931712,-21.0602430819627,2.16,28.84
"173","08/10/2018",6652.22998,6669.42159176,104628882704,1.1827,51.6495665388578,2.0949,-7.94281575479066,58.2934779138256,-40.799618141722,2.03,28.860001
"174","09/10/2018",6642.640137,6646.66559568,101048072704,2.21,51.2883813389299,3.2445,-14.9776720087997,51.8835216779482,-43.1170970248359,2.17,27.9
"175","10/10/2018",6585.529785,6625.87798826,97260422704,2.23,49.0868908521667,3.2476,-16.043418074879,45.1945372967081,-20.3064023391962,2.16,28.809999
"176","11/10/2018",6256.240234,6599.6597949,92078782704,2.22,38.7569993099404,3.2016,9.4995643828691,35.1481670412923,111.671494213861,2.12,29.290001
"177","12/10/2018",6274.580078,6576.46359372,95862282704,2.23,39.5203808524871,3.1923,38.5381595674812,41.7132715274103,154.692540305929,2.12,27.73
"178","15/10/2018",6596.540039,6569.3583984,103233052704,2.27,51.054595473309,3.1996,39.8245620324043,51.9712186349034,44.9701718920969,2.13,28.59
"179","16/10/2018",6596.109863,6566.21819332,99158252704,2.26,51.0405891659119,3.1988,30.7763560232495,44.9875088855964,-5.41646801336992,2.13,28.59
