Date,Day,USEPUINDXD
19/05/2019,Sun,95.86
20/05/2019,Mon,95.08
21/05/2019,Tue,73.8
22/05/2019,Wed,69.8
23/05/2019,Thu,71.04
24/05/2019,Fri,144.24
25/05/2019,Sat,151.55
26/05/2019,Sun,138.34
27/05/2019,Mon,102.04
28/05/2019,Tue,69.48
29/05/2019,Wed,55.62
30/05/2019,Thu,50.84
31/05/2019,Fri,94.35
01/06/2019,Sat,97.55
02/06/2019,Sun,159.79
03/06/2019,Mon,72.86
04/06/2019,Tue,120.06
05/06/2019,Wed,217.51
06/06/2019,Thu,137.43
07/06/2019,Fri,242.25
08/06/2019,Sat,139.29
09/06/2019,Sun,174.61
10/06/2019,Mon,162.1
11/06/2019,Tue,130.24
12/06/2019,Wed,116.03
13/06/2019,Thu,143.87
14/06/2019,Fri,145.07
15/06/2019,Sat,175.49
16/06/2019,Sun,198.5
17/06/2019,Mon,82.16
18/06/2019,Tue,146.35
19/06/2019,Wed,77.89
20/06/2019,Thu,116.67
21/06/2019,Fri,178.92
22/06/2019,Sat,127.09
23/06/2019,Sun,245.77
24/06/2019,Mon,92.75
25/06/2019,Tue,74.19
26/06/2019,Wed,142.51
27/06/2019,Thu,64.08
28/06/2019,Fri,129.48
29/06/2019,Sat,96.2
30/06/2019,Sun,114.41
01/07/2019,Mon,174.62
02/07/2019,Tue,144.12
03/07/2019,Wed,126.27
04/07/2019,Thu,96.84
05/07/2019,Fri,72.83
06/07/2019,Sat,93.29
07/07/2019,Sun,180.55
08/07/2019,Mon,72.06
09/07/2019,Tue,40.14
10/07/2019,Wed,45.62
11/07/2019,Thu,103.84
12/07/2019,Fri,72.49
13/07/2019,Sat,126.95
14/07/2019,Sun,58.43
15/07/2019,Mon,72.19
16/07/2019,Tue,53.41
17/07/2019,Wed,77.06
18/07/2019,Thu,61.63
19/07/2019,Fri,61.84
20/07/2019,Sat,28.88
21/07/2019,Sun,112.14
22/07/2019,Mon,75.32
23/07/2019,Tue,114.24
24/07/2019,Wed,79.72
25/07/2019,Thu,40.68
26/07/2019,Fri,116.11
27/07/2019,Sat,174.53
28/07/2019,Sun,133.67
29/07/2019,Mon,86.97
30/07/2019,Tue,139.24
31/07/2019,Wed,103.01
01/08/2019,Thu,150.2
02/08/2019,Fri,117.41
03/08/2019,Sat,153.64
04/08/2019,Sun,87.14
05/08/2019,Mon,83.03
06/08/2019,Tue,84.05
07/08/2019,Wed,92.22
08/08/2019,Thu,93.48
09/08/2019,Fri,92.35
10/08/2019,Sat,57.72
11/08/2019,Sun,123.95
12/08/2019,Mon,109.59
13/08/2019,Tue,70.1
14/08/2019,Wed,133.71
15/08/2019,Thu,144.25
16/08/2019,Fri,105.71
17/08/2019,Sat,176.17
18/08/2019,Sun,196.87
19/08/2019,Mon,144.84
20/08/2019,Tue,229.29
21/08/2019,Wed,278.29
22/08/2019,Thu,186.06
23/08/2019,Fri,268.83
24/08/2019,Sat,386.19
25/08/2019,Sun,321.21
26/08/2019,Mon,267.98
27/08/2019,Tue,173.5
28/08/2019,Wed,132.75
29/08/2019,Thu,100.25
30/08/2019,Fri,116.43
31/08/2019,Sat,135.02
01/09/2019,Sun,242.38
02/09/2019,Mon,229.98
03/09/2019,Tue,95.61
04/09/2019,Wed,92.02
05/09/2019,Thu,106.57
06/09/2019,Fri,130.51
07/09/2019,Sat,160.77
08/09/2019,Sun,128.76
09/09/2019,Mon,65.84
10/09/2019,Tue,64.63
11/09/2019,Wed,58.52
12/09/2019,Thu,100.33
13/09/2019,Fri,103.12
14/09/2019,Sat,103.05
15/09/2019,Sun,154.3
16/09/2019,Mon,67.24
17/09/2019,Tue,79.18
18/09/2019,Wed,72.64
19/09/2019,Thu,184.82
20/09/2019,Fri,98.34
21/09/2019,Sat,139.28
22/09/2019,Sun,133.98
23/09/2019,Mon,134.52
24/09/2019,Tue,120.81
25/09/2019,Wed,144.83
26/09/2019,Thu,60.07
27/09/2019,Fri,101.26
28/09/2019,Sat,97.83
